French,English
je,I
de,of
est,is
pas,not
le,the
vous,you
la,the
tu,you
que,than
un,a
il,he
et,and
à,at
a,at
ne,born
les,the
ce,this
en,in
on,we
ça,it
une,a
ai,have
pour,for
des,of the
moi,me
qui,who
nous,we
y,there
mais,But
me,me
dans,in
du,of
bien,well
elle,it
si,if
tout,all
plus,more
non,no
mon,my
suis,am
te,you
au,at
avec,with
va,goes
oui,Yes
toi,you
fait,fact
ils,they
as,ace
être,to be
faire,to do
se,himself
comme,as
était,was
sur,sure
quoi,what
ici,here
sais,know
lui,him
veux,want
ma,my
là,the
rien,nothing
dit,said
es,es
où,or
votre,your
pourquoi,Why
sont,are
cette,this
quand,when
par,by
son,his
ton,your
peux,can
vais,am going to
dire,say
alors,so
comment,How? 'Or' What
avez,have
bon,Well
ou,or
très,very
merci,thank you
ont,have
même,even
jamais,never
aussi,as well
voir,see
chose,thing
allez,going
tous,all
deux,of them
ces,these
faut,should
sa,her
êtes,are
été,summer
ta,your
fais,do
avoir,to have
peut,can
autre,other
m,m
encore,again
maintenant,now
peu,little
mes,my
vraiment,really
temps,time
notre,our
toujours,always
vie,life
sans,without
juste,fair
oh,Oh
avait,had
accord,agreement
vu,seen
monde,world
quelque,some
fois,times
aller,to go
trop,too much
viens,come
crois,think
dieu,God
dois,have
homme,man
père,dad
sûr,sure
aux,to the
leur,their
avant,before
étais,was
besoin,need
femme,women
aime,love
personne,person
avais,had
chez,in
vrai,true
ans,years
mal,wrong
ses,his
parler,talk
vos,your
après,after
mort,death
veut,wants
eu,had
sera,will be
bonne,good
parce,by
mieux,better
petit,small
voilà,here
tes,your
ca,it
dis,tell
beaucoup,many
depuis,since
doit,must
vois,see
mère,mother
vas,going
monsieur,gentleman
quel,what
déjà,already
fille,girl
gens,people
donc,so
jour,day
soir,evening
autres,other
ii,ii
toute,all
bonjour,Hello
ll,It
maison,House
nom,last name
argent,silver
nos,our
ouais,yeah
pense,thought
merde,Fuck
nuit,night
papa,dad
cela,it
salut,Salvation
cet,this
avons,have
reste,rest
désolé,sorry
maman,mom
peur,fear
arrive,come
seul,alone
vite,quick
prendre,to take
regarde,looked
air,air
soit,is
trois,three
quelle,what
passé,past
savoir,know
plaît,please
choses,things
moins,less
fils,son
entre,Between
bas,low
appelle,call
passe,past
ah,ha
tête,head
demain,tomorrow
grand,tall
arrête,stopped
faites,make
voulez,want
hé,Hey
attends,hold on
hein,huh
enfants,children
assez,enough
raison,reason
aurais,would
voulais,wanted
elles,they
parle,speak
ok,okay
jours,days
dû,of
moment,moment
heure,hour
puis,then
gars,guys
hommes,men
amour,love
tard,late
toutes,all
sommes,are
tuer,kill
eh,eh
ami,friend
connais,know
petite,small
aider,help
chance,luck
savez,know
partir,go
sait,know
combien,how much
voiture,car
tant,so
pris,taken
part,go
problème,problem
prends,take
porte,door
coup,stroke
serait,would be
venir,come
hui,hui
famille,family
travail,job
pu,could
seule,alone
sens,meaning
ni,or
allons,let's go
revoir,see again
idée,idea
putain,whore
passer,pass
contre,against
comprends,understand
entendu,heard
trouvé,find
trouver,find
vieux,old
vient,just
pendant,while
aurait,would have
quelques,a few
attention,Warning
demande,request
chercher,search
sous,under
voici,here is
pourrait,could
sang,blood
pouvez,can
sortir,exit
question,question
histoire,history
amis,friends
venez,come
frère,brother
rester,stay
fini,finished
ville,city
nouveau,new
truc,thing
tiens,here
mois,month
eux,them
mec,guy
yeux,eyes
laisse,leash
super,Great
belle,beautiful
longtemps,long time
police,police
eau,water
heures,hours
car,because
importe,imported
